record_key,record_type,run_id,soc,aic,mode,global_index,workload_index,workload_id,rank,shape,dtype,template,T,S,C,G,L2,median_ms,stddev_ms,tflops,speedup_vs_official,delta_pct,noise_pct,status,mark,official_ms,best_rank,ocr_complete,notes,I,L1,DB,L2O,preflight_contract,trans_a,trans_b
bank_control:20260728_015915:trans_a_case,bank_control,20260728_015915,Ascend910B3,20,full,,27,trans_a_case,0,4096x3072x2048,fp16,BASE,128x256x64,128x256x2048,20,32x12,1x1(32x12),0.200149,0,257.506195644,,,,within_noise,,0.200272,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x8,2x2x1,0,grid9_v1,1,0
baseline:20260728_015915:trans_b_case,baseline,20260728_015915,Ascend910B3,20,full,,28,trans_b_case,-1,2048x4096x3072,fp16,,,,,,,0.197912,6.08409e-05,260.417,,,,success,,0.197912,,1,structured_from_successful_full_terminal_log,,,,,,0,1
bank_control:20260728_015915:trans_b_case,bank_control,20260728_015915,Ascend910B3,20,full,,28,trans_b_case,0,2048x4096x3072,fp16,BASE,128x256x64,128x256x3072,20,16x16,1x1(16x16),0.196406,0,262.413610338,,,,within_noise,,0.197912,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x8,2x2x1,0,grid9_v1,0,1
baseline:20260728_015915:trans_ab_case,baseline,20260728_015915,Ascend910B3,20,full,,29,trans_ab_case,-1,1024x1536x2048,fp16,,,,,,,0.042384,2.86089e-05,152.002,,,,success,,0.042384,,1,structured_from_successful_full_terminal_log,,,,,,1,1
bank_control:20260728_015915:trans_ab_case,bank_control,20260728_015915,Ascend910B3,20,full,,29,trans_ab_case,0,1024x1536x2048,fp16,BASE,256x128x64,256x128x2048,20,4x12,1x1(4x12),0.0417304,0,154.38267891,,,,improved,,0.042384,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,8x16,2x2x1,0,grid9_v1,1,1
baseline:20260728_015915:bf16_llm,baseline,20260728_015915,Ascend910B3,20,full,,30,bf16_llm,-1,4096x11008x4096,bf16,,,,,,,1.35292,0.000193145,273.015,,,,success,,1.35292,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:bf16_llm,bank_control,20260728_015915,Ascend910B3,20,full,,30,bf16_llm,0,4096x11008x4096,bf16,BASE,128x256x64,128x256x4096,20,32x43,3x2(11x22),1.34527,0,274.567326601,,,,within_noise,,1.35292,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x8,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:fp32_square,baseline,20260728_015915,Ascend910B3,20,full,,31,fp32_square,-1,2048x2048x2048,fp32,,,,,,,0.252212,2.87768e-05,68.1168,,,,success,,0.252212,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:fp32_square,bank_control,20260728_015915,Ascend910B3,20,full,,31,fp32_square,0,2048x2048x2048,fp32,BASE,128x256x32,128x256x2048,20,16x8,1x1(16x8),0.252361,0,68.0765616874,,,,within_noise,,0.252212,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x8,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:single_core_split_k_aligned,baseline,20260728_015915,Ascend910B3,20,full,,33,single_core_split_k_aligned,-1,4096x4096x32768,fp16,,,,,,,6.22875,0.0213914,176.522,,,,success,,6.22875,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:single_core_split_k_aligned,bank_control,20260728_015915,Ascend910B3,20,full,,33,single_core_split_k_aligned,0,4096x4096x32768,fp16,SINGLE_CORE_SPLIT_K,128x128x128,416x2048x384,20,10x2,8x4(4x4),6.243,0,176.119113852,,,,within_noise,,6.22875,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,1,9x6,2x2x2,0,grid9_v1,0,0
baseline:20260728_015915:single_core_split_k_unaligned,baseline,20260728_015915,Ascend910B3,20,full,,34,single_core_split_k_unaligned,-1,4097x4097x32769,fp16,,,,,,,7.85949,0.00109681,139.969,,,,success,,7.85949,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:single_core_split_k_unaligned,bank_control,20260728_015915,Ascend910B3,20,full,,34,single_core_split_k_unaligned,0,4097x4097x32769,fp16,SINGLE_CORE_SPLIT_K,128x128x128,416x2176x384,20,10x2,9x4(4x5),7.88424,0,139.529255203,,,,within_noise,,7.85949,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,1,9x6,2x2x2,0,grid9_v1,0,0
baseline:20260728_015915:deterministic_split_k_unaligned,baseline,20260728_015915,Ascend910B3,20,full,,35,deterministic_split_k_unaligned,-1,127x127x32769,fp16,,,,,,,0.0780812,0.000175156,13.538,,,,success,,0.0780812,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:deterministic_split_k_unaligned,bank_control,20260728_015915,Ascend910B3,20,full,,35,deterministic_split_k_unaligned,0,127x127x32769,fp16,DETERMINISTIC_SPLIT_K,128x128x128,384x127x384,20,1x1,1x1(1x1),0.0935992,0,11.2934982564,,,,regressed,,0.0780812,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,1,9x6,2x2x2,0,grid9_v1,0,0
baseline:20260728_015915:al1_full_load_fp32_nt,baseline,20260728_015915,Ascend910B3,20,full,,36,al1_full_load_fp32_nt,-1,16x320x4096,fp32,,,,,,,0.0127756,0.000102054,3.28306,,,,success,,0.0127756,,1,structured_from_successful_full_terminal_log,,,,,,0,1
bank_control:20260728_015915:al1_full_load_fp32_nt,bank_control,20260728_015915,Ascend910B3,20,full,,36,al1_full_load_fp32_nt,0,16x320x4096,fp32,AL1_FULL_LOAD,16x16x256,16x16x4096,20,1x20,1x1(1x20),0.0129004,0,3.25129763418,,,,within_noise,,0.0127756,,1,structured_from_successful_full_terminal_log; L2O reconstructed from unique current callback match,0,16x2,2x2x2,1,grid9_v1,0,1
baseline:20260728_015915:bl1_full_load_aligned,baseline,20260728_015915,Ascend910B3,20,full,,37,bl1_full_load_aligned,-1,65536x128x128,fp16,,,,,,,0.0126808,6.506e-05,169.349,,,,success,,0.0126808,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:bl1_full_load_aligned,bank_control,20260728_015915,Ascend910B3,20,full,,37,bl1_full_load_aligned,0,65536x128x128,fp16,BL1_FULL_LOAD,128x128x128,256x128x128,20,256x1,1x1(256x1),0.0129936,0,165.272414727,,,,regressed,,0.0126808,,1,structured_from_successful_full_terminal_log; L2O reconstructed from unique current callback match,0,2x1,2x2x2,1,grid9_v1,0,0
baseline:20260728_015915:bl1_full_load_unaligned,baseline,20260728_015915,Ascend910B3,20,full,,38,bl1_full_load_unaligned,-1,65536x192x16,fp16,,,,,,,0.0449332,9.98205e-05,8.96115,,,,success,,0.0449332,,1,structured_from_successful_full_terminal_log,,,,,,1,0
bank_control:20260728_015915:bl1_full_load_unaligned,bank_control,20260728_015915,Ascend910B3,20,full,,38,bl1_full_load_unaligned,0,65536x192x16,fp16,BL1_FULL_LOAD,128x192x64,256x192x16,20,256x1,1x1(256x1),0.0459228,0,8.76804515404,,,,regressed,,0.0449332,,1,structured_from_successful_full_terminal_log; L2O reconstructed from unique current callback match,0,2x1,2x2x1,1,grid9_v1,1,0
baseline:20260728_015915:bl1_full_load_fixpipe,baseline,20260728_015915,Ascend910B3,20,full,,39,bl1_full_load_fixpipe,-1,65536x7x16,fp16,,,,,,,0.0202172,0.000162,0.726118,,,,success,,0.0202172,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:bl1_full_load_fixpipe,bank_control,20260728_015915,Ascend910B3,20,full,,39,bl1_full_load_fixpipe,0,65536x7x16,fp16,BL1_FULL_LOAD_FIXPIPE,256x16x64,256x16x16,20,256x1,1x1(0x0),0.0200088,0,0.733680380633,,,,within_noise,,0.0202172,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,1x1,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:bl1_full_load_vec_nz2nd,baseline,20260728_015915,Ascend910B3,20,full,,40,bl1_full_load_vec_nz2nd,-1,65536x7x8,fp32,,,,,,,0.0653352,0.000228438,0.112344,,,,success,,0.0653352,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:bl1_full_load_vec_nz2nd,bank_control,20260728_015915,Ascend910B3,20,full,,40,bl1_full_load_vec_nz2nd,0,65536x7x8,fp32,BL1_FULL_LOAD_VEC_NZ2ND,128x16x64,128x16x8,20,512x1,1x1(0x0),0.0667876,0,0.109901119369,,,,regressed,,0.0653352,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,1x1,2x2x1,0,grid9_v1,0,0
candidate:20260728_015915:large_k_small_mn:1,candidate,20260728_015915,Ascend910B3,20,full,61,23,large_k_small_mn,1,128x128x32768,fp16,DETERMINISTIC_SPLIT_K,128x128x128,384x128x384,20,1x1,1x1(8x1),0.031082,8.8605e-05,34.5468,1.05467,-5.18346,1,improved,best,0.0327812,,1,structured_from_successful_full_terminal_log,0,9x6,2x2x2,0,grid9_v1,0,0
