campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature,candidate_source,median_ms,ratio_vs_official,ratio_vs_bank,status_vs_official,status_vs_bank,model_ratio,verified,structured_verified
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_wide,1280,4864,5632,fp16,0,0,14:96:4864:5632:16:96:16:16:16:2:2:1:8:8:2:2:1:14:1:1:1:0:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_wide,1280,4864,5632,fp16,0,0,16:320:1216:2048:48:16:128:16:32:1:1:0:16:16:1:1:1:4:1:1:4:0:2,contract_global,7.03589172363,25.8376112147359,25.8283155242808,regressed,regressed,1.3423650729473617,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_wide,1280,4864,5632,fp16,0,0,16:320:1216:2048:48:16:128:16:16:1:1:0:16:16:1:1:1:2:1:3:4:2:2,contract_global,10.1026501465,37.0995400408271,37.0861926057667,regressed,regressed,1.3845202209921048,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_wide,1280,4864,5632,fp16,0,0,14:192:2432:640:32:64:80:24:16:3:2:0:8:8:2:1:1:7:2:1:1:1:2,contract_global,3.26277069092,11.9839958526781,11.9819127303336,regressed,regressed,1.3152606195809544,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_wide,1280,4864,5632,fp16,0,0,15:384:4864:384:128:128:128:9:6:3:1:1:3:3:2:2:2:1:1:4:1:0:3,contract_global,0.667771224976,2.45269077993163,2.45226444008319,regressed,regressed,1.1296051465565566,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_wide,1280,4864,5632,fp16,0,0,20:48:976:5632:16:16:2048:2:2:1:2:0:1:1:1:1:1:9:2:3:4:2:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_wide,1280,4864,5632,fp16,0,0,15:1280:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:13:1:3,contract_global,0.428636817932,1.57436189515011,1.57408823113563,regressed,regressed,1.1087066012420401,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_wide,1280,4864,5632,fp16,0,0,8:384:4864:384:128:128:128:9:6:3:1:1:3:3:2:2:2:1:1:4:1:0:3,contract_global,0.768473587036,2.81401437803307,2.8217570748463,regressed,regressed,1.1146370913989097,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_wide,1280,4864,5632,fp16,0,0,14:96:4864:160:16:16:80:16:16:4:4:1:2:2:2:1:1:14:1:1:1:0:2,contract_global,29.1040185547,106.573769161445,106.867004473124,regressed,regressed,1.2355241629850444,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_wide,1280,4864,5632,fp16,0,0,20:48:816:1792:16:48:112:32:32:1:1:0:16:16:2:1:1:1:6:27:1:2:2,contract_global,10.3860192871,38.001985823958,38.0032854084065,regressed,regressed,1.1283572594087332,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_wide,1280,4864,5632,fp16,0,0,20:32:976:384:16:48:128:6:18:2:3:0:3:3:2:1:1:14:2:3:4:0:2,contract_global,4.4504876709,16.284137811017,16.2846946927618,regressed,regressed,1.0888808983954488,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_large,5632,6144,7680,fp16,0,0,16:352:6144:1280:16:16:160:32:32:4:4:1:8:8:1:1:1:16:1:1:1:2:2,contract_global,75.7730078125,38.6252104669917,38.4769449042044,regressed,regressed,1.4125375446227542,1,1
